name,kind
MethMarker,Software
MethylCoder,Software
MetMap,Software
MeV,Software
MG-RAST,Software
MicroRazerS,Software
Microsoft Biology Foundation,Software
MICSA,Software
Minia,Software
MIP Scaffolder,Software
MIRA,Software
MiRanalyzer,Software
MiRCat,Software
MiRDeep,Software
MiRNAkey,Software
MiRProf,Software
MiRspring,Software
MirTools,Software
MISO,Software
Mlgt,Software
MMSEQ,Software
MochiView,Software
MoDIL,Software
MOM,Software
MOSAIK,Software
MPscan,Software
MrCaNaVaR,Software
MrFAST,Software
MrsFAST,Software
MTR,Software
MU2A,Software
MUMmer,Software
MUMmerGPU,Software
MuMRescueLite,Software
MuSICA 2,Software
Mutascope,Software
MuTect,Software
Myrialign,Software
Myrna,Software
Mzip,Software
Nesoni,Software
Newbler,Software
Nexalign,Software
NextGen Utility Scripts,Software
NextGENe,Software
Ngs backbone,Software
NGS-DesignTools,Software
Ngs-pipeline,Software
NGSUtils,Software
NGSView,Software
NOISeq,Software
NovelSeq,Software
Novocraft,Software
NPS,Software
NucleR,Software
Oases,Software
OLego,Software
Omixon Variant Toolkit,Software
Optimus Primer,Software
PacBio conversion tools,Software
PaCGeE,Software
PALMA,Software
PALMapper,Software
PanGEA,Software
PARalyzer,Software
Partek Genomics Suite,Software
PASH,Software
PASS,Software
Patchwork,Software
PatMaN,Software
PE-Assembler,Software
PeakAnalyzer,Software
PeakRanger,Software
PeakSeq,Software
PECAN,Software
PEMer,Software
PERalign,Software
PerM,Software
Phred,Software
Phred Phrap Consed Cross match,Software
Phymm,Software
PiCall,Software
PICS,Software
PileLine,Software
Pindel,Software
Pipeline Pilot,Software
PIQA,Software
PoissonSeq,Software
PolyBayesShort,Software
PoolHap,Software
PoPoolation,Software
PoPoolation2,Software
PRICE,Software
PRINSEQ,Software
ProbeMatch,Software
ProbHD,Software
Proxygenes,Software
Pybedtools,Software
PyroBayes,Software
PyroMap,Software
PyroNoise,Software
QCALL,Software
Qpalma,Software
QSeq,Software
QSRA,Software
QuadGT,Software
Quake,Software
QualiMap,Software
QUAST,Software
QuEST,Software
Quip,Software
R2R,Software
R453Plus1Toolbox,Software
RACA,Software
RApiD,Software
RAPSearch,Software
Ray,Software
RazerS,Software
RDiff,Software
RDP Pyrosequencing Pipeline,Software
Readaligner,Software
ReadDepth,Software
REAL,Software
Reaper,Software
Reconciliator,Software
RECOUNT,Software
RefCov,Software
Repitools,Software
Reptile,Software
ReSeqSim,Software
RGA,Software
RiboPicker,Software
RMAP,Software
RNA,Software
RNA-MATE,Software
RNASEQR,Software
Rnnotator,Software
RobiNA,Software
Rolexa,Software
RSAT peak-motifs,Software
RSEM,Software
RSEQtools,Software
Rsolid,Software
Rsubread,Software
RTG Investigator,Software
RUbioSeq,Software
S-MART,Software
SAMMate,Software
Samscope,Software
SAMStat,Software
SAMtools,Software
Savant Genome Browser,Software
Scaffolder,Software
SCALCE,Software
SCARF,Software
Scripture,Software
SEAL,Software
SEECER,Software
SEED,Software
Segemehl,Software
Segtor,Software
Seq2HLA,Software
SeqAn,Software
SeqBuster,Software
SeqCons,Software
SeqEM,Software
SeqGSEA,Software
SeqMan NGen,Software
SeqMap,Software
SeqMINER,Software
SeqMonk,Software
SeqPrep,Software
SeqSaw,Software
SeqSeg,Software
SeqSite,Software
SeqSolve,Software
SeqTrim,Software
Sequedex,Software
SequenceVariantAnalyzer,Software
Sequencher,Software
SeqWare,Software
SeqWords,Software
SESAME,Software
SEWAL,Software
Sff2fastq,Software
SGA,Software
SHARCGS,Software
SHE-RA,Software
Sherman,Software
ShoRAH,Software
Shore,Software
SHOREmap,Software
ShortFuse,Software
ShortRead,Software
SHORTY,Software
SHRAP,Software
SHREC,Software
SHRiMP,Software
Sibelia,Software
SICER,Software
SiLoCo,Software
Sim4cc,Software
SimNext,Software
SimSeq,Software
Sissrs,Software
Slider,Software
SlideSort,Software
SLOPE,Software
SmashCommunity,Software
SNIP-Seq,Software
Sniper,Software
SNP-o-matic,Software
SNPSeeker,Software
SNVer,Software
SNVMix,Software
SOAP,Software
SOAPdenovo,Software
SOAPsnp,Software
SOCS,Software
Solas,Software
Sole-Search,Software
SolexaQA,Software
SolexaTools,Software
SOLID software tools,Software
SomaticCall,Software
SOPRA,Software
Spiral Genetics,Software
SpliceGrapher,Software
SpliceMap,Software
SpliceTrap,Software
SplicingViewer,Software
SPLINTER,Software
SplitSeek,Software
SPP,Software
SR-ASM,Software
SRAdb,Software
SRMA,Software
SSA,Software
SSAHA,Software
SsahaSNP,Software
SSAKE,Software
SSPACE,Software
STADEN,Software
Stampy,Software
Standalone hamming,Software
Standardized Velvet Assembly Report,Software
STAR,Software
Strelka,Software
Subjunc,Software
Subread,Software
SuccinctAssembly,Software
SUDS genome browser,Software
Suffixerator,Software
Supersplat,Software
SUTTA,Software
SVDetect,Software
SVMerge,Software
Swalign,Software
SWAP454,Software
SwDMR,Software
Swift,Software
SWT,Software
SXOligoSearch,Software
Syapse,Software
Syzygy,Software
T-lex,Software
Ta-si prediction,Software
Tablet,Software
TagCleaner,Software
TagDust,Software
Taipan,Software
Tally,Software
Tallymer,Software
TAPyR,Software
TASE,Software
TASR,Software
TEQC,Software
TileQC,Software
TiMat2,Software
TMAP,Software
TMAP,Software
TopHat,Software
TopHat-Fusion,Software
TOTALRECALLER,Software
Tracembler,Software
Trans-ABySS,Software
Trimmomatic,Software
Trinity,Software
Tripal,Software
Tview,Software
UGENE,Software
UnoSeq,Software
USeq,Software
V-Xtractor,Software
VAAL,Software
VAAST,Software
Variant Effect Predictor,Software
VariantClassifier,Software
Variation toolkit,Software
VariationHunter,Software
VARiD,Software
VarScan,Software
VCAKE,Software
VCFtools,Software
Velvet,Software
VelvetOptimiser,Software
Vicuna,Software
VIP,Software
ViralFusionSeq,Software
VirusHunter,Software
VirusSeq,Software
VisSR,Software
Vmatch,Software
WebApollo,Software
WebPrInSeS,Software
WHAM,Software
XMatchView,Software
YASS,Software
ZINBA,Software
ZOOM,Software
ZORRO,Software
Illumina Next-Generation Sequencing,Instrument
ABI 3730 DNA Analyzer,Instrument
ABI 7500 Real Time System,Instrument
ABI 7900HT Real Time System,Instrument
Affymetrix GeneChip Fluidics Station 450,Instrument
Affymetrix GeneChip Scanner 3000,Instrument
Agilent Array Scanner,Instrument
Agilent BioAnalyzer,Instrument
Biomek FX Liquid Handling Robot,Instrument
CAS 4200 PCR Setup Robot,Instrument
Caliper Labchip 90 System,Instrument
Hydra II Microdispenser,Instrument
Illumina GAIIx,Instrument
Illumina HiScan SQ,Instrument
Illumina HiSeq 1000/1500,Instrument
Illumina HiSeq 2000/2500,Instrument
Illumina MiSeq,Instrument
Ion PGM 314,Instrument
Ion PGM 316,Instrument
Ion PGM 318,Instrument
Ion Proton PI,Instrument
Ion Proton PII,Instrument
Ion Proton PIII,Instrument
Ion Torrent Next-Generation Sequencing,Instrument
Ion Proton Next-Generation Sequencing,Instrument
Matrical Bioscience SonicMan Plate Sonicator,Instrument
Plate Sonicator,Instrument
Next-Generation Sequencing (NGS),Instrument
PacBio RS,Instrument
Pacific Biosciences SMRT Next-Generation Sequencing,Instrument
QIAgility PCR Setup Robot,Instrument
Qpix2 Colony Picking Robot,Instrument
Colony Picking Robot,Instrument
Roche 454 Next-Generation Sequencing,Instrument
Roche GS FLX+,Instrument
Roche GS Jr,Instrument
SOLiD 5500,Instrument
SOLiD 5500 Wildfire,Instrument
SOLiD 5500xl,Instrument
SOLiD 5500xl Wildfire,Instrument
SOLiD Next-Generation Sequencing,Instrument
Sanger Sequencing,Instrument
Singer RoTor HDA robot,Instrument
Spectramax M2e Microplate reader,Instrument
Tecan Freedom EVO Liquid Handling Robot,Instrument
Thermocycler,Instrument
Sequence Analysis,Method
Mapping,Method
Alignment,Method
Assembly,Method
Scaffolding,Method
De Bruijn Graph,Method
Adapter Removal,Method
Gap Extension,Method
Format Conversion,Method
Basecaller,Method
Assembly Validation,Method
Assembly Visualization,Method
Assembly QC,Method
Visualization,Method
Annotation,Method
Variant Prioritization,Method
Peak Calling,Method
Expression Profiling,Method
Gene Identification,Method
Gene Ontology Analysis,Method
Sequence Variation Analysis,Method
Statistics,Method
Empirical Bayes,Method
Quality Control,Method
Biological Contextualization,Method
Alignment Analysis,Method
Alignment Viewer,Method
Sample Barcoding,Method
Hidden Markov Model,Method
Genotyping,Method
Normalization,Method
Multiple Sequence Alignment Viewer,Method
Genome Indexing,Method
K-mer Analysis,Method
Sequencing Quality Control,Method
Sequence Parsing,Method
Bisulfite SNP calling,Method
Methylation Calling,Method
MapReduce,Method
FM-index,Method
Burrows-Wheeler,Method
Primer Removal,Method
